"","Taxa","Hybrid_propensity","Mode","factor","x","Genus","pos","Family","Order","Group","marg_post_mode"
"1","Thlaspi arvense",0,-0.590026928921786,"1","Thlaspi arvense","Thlaspi",1,"Brassicaceae","Brassicales","Angiosperms",0.0564011130952503
"2","Thlaspi caerulescens",0,-0.372664945231553,"1","Thlaspi caerulescens","Thlaspi",2,"Brassicaceae","Brassicales","Angiosperms",0.0623440716406175
"3","Thlaspi perfoliatum",0,-0.463335967534417,"1","Thlaspi perfoliatum","Thlaspi",3,"Brassicaceae","Brassicales","Angiosperms",0.0598081978573725
"4","Brassica nigra",0,-0.237875491502761,"1","Brassica nigra","Brassica",4,"Brassicaceae","Brassicales","Angiosperms",0.0662678515876074
"5","Brassica oleracea",1,-0.113602919476283,"1","Brassica oleracea","Brassica",5,"Brassicaceae","Brassicales","Angiosperms",0.0700524630416181
"6","Brassica rapa",1,-0.72223454398409,"1","Brassica rapa","Brassica",6,"Brassicaceae","Brassicales","Angiosperms",0.0530107213422034
"7","Sinapis alba",0,-0.387631007044982,"1","Sinapis alba","Sinapis",7,"Brassicaceae","Brassicales","Angiosperms",0.0619198196301716
"8","Sinapis arvensis",0,-0.274026050834533,"1","Sinapis arvensis","Sinapis",8,"Brassicaceae","Brassicales","Angiosperms",0.0651971907443314
"9","Coincya monensis",0,-0.409066357079649,"1","Coincya monensis","Coincya",9,"Brassicaceae","Brassicales","Angiosperms",0.0613161075168886
"10","Coincya wrightii",0,-0.392775076732638,"1","Coincya wrightii","Coincya",10,"Brassicaceae","Brassicales","Angiosperms",0.0617745190210848
"11","Arabis alpina",0,-0.53298153821594,"1","Arabis alpina","Arabis",11,"Brassicaceae","Brassicales","Angiosperms",0.0579158030616508
"12","Arabis hirsuta",0,-0.373761239981844,"1","Arabis hirsuta","Arabis",12,"Brassicaceae","Brassicales","Angiosperms",0.0623129175648964
"13","Arabis scabra",0,-0.489668854390112,"1","Arabis scabra","Arabis",13,"Brassicaceae","Brassicales","Angiosperms",0.0590870694068797
"14","Arabidopsis lyrata",0,-0.510038878818135,"1","Arabidopsis lyrata","Arabidopsis",14,"Brassicaceae","Brassicales","Angiosperms",0.0585339271516129
"15","Arabidopsis thaliana",0,-0.529350235934299,"1","Arabidopsis thaliana","Arabidopsis",21,"Brassicaceae","Brassicales","Angiosperms",0.0580132948657583
"16","Draba aizoides",0,-0.694220549856848,"1","Draba aizoides","Draba",15,"Brassicaceae","Brassicales","Angiosperms",0.0537152901835576
"17","Draba incana",0,-0.646768855982862,"1","Draba incana","Draba",16,"Brassicaceae","Brassicales","Angiosperms",0.0549256288605554
"18","Draba norvegica",0,-0.41431072502261,"1","Draba norvegica","Draba",17,"Brassicaceae","Brassicales","Angiosperms",0.0611691059232914
"19","Erophila glabrescens",0,-0.406467207395499,"1","Erophila glabrescens","Erophila",18,"Brassicaceae","Brassicales","Angiosperms",0.0613890648737359
"20","Erophila verna",0,-0.919152357113324,"1","Erophila verna","Erophila",19,"Brassicaceae","Brassicales","Angiosperms",0.0482627973420112
"21","Erophila majuscula",0,-0.714213021470478,"1","Erophila majuscula","Erophila",20,"Brassicaceae","Brassicales","Angiosperms",0.0532117145123565
"22","Erysimum cheiranthoides",0,-0.535902556883114,"1","Erysimum cheiranthoides","Erysimum",22,"Brassicaceae","Brassicales","Angiosperms",0.0578374741767007
"23","Erysimum cheiri",0,-0.31732094370716,"1","Erysimum cheiri","Erysimum",23,"Brassicaceae","Brassicales","Angiosperms",0.0639326571605784
"24","Lepidium campestre",0,-0.445792591616332,"1","Lepidium campestre","Lepidium",24,"Brassicaceae","Brassicales","Angiosperms",0.0602924389888659
"25","Lepidium heterophyllum",0,-0.627822239871755,"1","Lepidium heterophyllum","Lepidium",25,"Brassicaceae","Brassicales","Angiosperms",0.0554148752426594
"26","Lepidium coronopus",0,-0.56333178731566,"1","Lepidium coronopus","Lepidium",26,"Brassicaceae","Brassicales","Angiosperms",0.0571059995281277
"27","Lepidium latifolium",0,-0.496257093230869,"1","Lepidium latifolium","Lepidium",27,"Brassicaceae","Brassicales","Angiosperms",0.0589077208146834
"28","Lepidium ruderale",0,-0.501792050238527,"1","Lepidium ruderale","Lepidium",28,"Brassicaceae","Brassicales","Angiosperms",0.058757375639045
"29","Rorippa amphibia",3,-0.0126067064106286,"1","Rorippa amphibia","Rorippa",29,"Brassicaceae","Brassicales","Angiosperms",0.0732489405174989
"30","Rorippa sylvestris",3,-0.344443497554076,"1","Rorippa sylvestris","Rorippa",30,"Brassicaceae","Brassicales","Angiosperms",0.0631502460553419
