Hectads_shared,On,y,Sp1,Sp2,Genus1,Genus2,Annual_Perennial,T1,T2,dist2
29,AchilleaAchilleamaritimamillefolium,0,Achillea millefolium,Achillea maritima,Achillea,Achillea,p-p,Achillea millefolium,Achillea maritima,0.0476013703
16,AchilleaAchilleamaritimaptarmica,0,Achillea ptarmica,Achillea maritima,Achillea,Achillea,p-p,Achillea ptarmica,Achillea maritima,0.0440493834
29,AchilleaAchilleamaritimamillefolium,0,Achillea maritima,Achillea millefolium,Achillea,Achillea,p-p,Achillea maritima,Achillea millefolium,0.0476013703
2889,AchilleaAchilleamillefoliumptarmica,0,Achillea ptarmica,Achillea millefolium,Achillea,Achillea,p-p,Achillea ptarmica,Achillea millefolium,0.0128004099
16,AchilleaAchilleamaritimaptarmica,0,Achillea maritima,Achillea ptarmica,Achillea,Achillea,p-p,Achillea maritima,Achillea ptarmica,0.0440493834
2889,AchilleaAchilleamillefoliumptarmica,0,Achillea millefolium,Achillea ptarmica,Achillea,Achillea,p-p,Achillea millefolium,Achillea ptarmica,0.0128004099
904,AgrimoniaAgrimoniaeupatoriaprocera,1,Agrimonia procera,Agrimonia eupatoria,Agrimonia,Agrimonia,p-p,Agrimonia procera,Agrimonia eupatoria,2.8962e-06
904,AgrimoniaAgrimoniaeupatoriaprocera,1,Agrimonia eupatoria,Agrimonia procera,Agrimonia,Agrimonia,p-p,Agrimonia eupatoria,Agrimonia procera,2.8962e-06
3107,AgrostisAgrostiscaninacapillaris,0,Agrostis capillaris,Agrostis canina,Agrostis,Agrostis,p-p,Agrostis capillaris,Agrostis canina,0.0174011726
195,AgrostisAgrostiscaninacurtisii,0,Agrostis curtisii,Agrostis canina,Agrostis,Agrostis,p-p,Agrostis curtisii,Agrostis canina,6.1634e-06
1523,AgrostisAgrostiscaninagigantea,0,Agrostis gigantea,Agrostis canina,Agrostis,Agrostis,p-p,Agrostis gigantea,Agrostis canina,0.0158293942
3122,AgrostisAgrostiscaninastolonifera,0,Agrostis stolonifera,Agrostis canina,Agrostis,Agrostis,p-p,Agrostis stolonifera,Agrostis canina,0.0100807573
1235,AgrostisAgrostiscaninavinealis,0,Agrostis vinealis,Agrostis canina,Agrostis,Agrostis,p-p,Agrostis vinealis,Agrostis canina,2.8962e-06
3107,AgrostisAgrostiscaninacapillaris,0,Agrostis canina,Agrostis capillaris,Agrostis,Agrostis,p-p,Agrostis canina,Agrostis capillaris,0.0174011726
205,AgrostisAgrostiscapillariscurtisii,0,Agrostis curtisii,Agrostis capillaris,Agrostis,Agrostis,p-p,Agrostis curtisii,Agrostis capillaris,0.0174000108
1730,AgrostisAgrostiscapillarisgigantea,1,Agrostis gigantea,Agrostis capillaris,Agrostis,Agrostis,p-p,Agrostis gigantea,Agrostis capillaris,0.0275088832
3670,AgrostisAgrostiscapillarisstolonifera,1,Agrostis stolonifera,Agrostis capillaris,Agrostis,Agrostis,p-p,Agrostis stolonifera,Agrostis capillaris,0.0217602463
1334,AgrostisAgrostiscapillarisvinealis,1,Agrostis vinealis,Agrostis capillaris,Agrostis,Agrostis,p-p,Agrostis vinealis,Agrostis capillaris,0.0174011726
195,AgrostisAgrostiscaninacurtisii,0,Agrostis canina,Agrostis curtisii,Agrostis,Agrostis,p-p,Agrostis canina,Agrostis curtisii,6.1634e-06
205,AgrostisAgrostiscapillariscurtisii,0,Agrostis capillaris,Agrostis curtisii,Agrostis,Agrostis,p-p,Agrostis capillaris,Agrostis curtisii,0.0174000108
182,AgrostisAgrostiscurtisiigigantea,0,Agrostis gigantea,Agrostis curtisii,Agrostis,Agrostis,p-p,Agrostis gigantea,Agrostis curtisii,0.0158282324
204,AgrostisAgrostiscurtisiistolonifera,0,Agrostis stolonifera,Agrostis curtisii,Agrostis,Agrostis,p-p,Agrostis stolonifera,Agrostis curtisii,0.0100795955
127,AgrostisAgrostiscurtisiivinealis,0,Agrostis vinealis,Agrostis curtisii,Agrostis,Agrostis,p-p,Agrostis vinealis,Agrostis curtisii,6.1634e-06
1523,AgrostisAgrostiscaninagigantea,0,Agrostis canina,Agrostis gigantea,Agrostis,Agrostis,p-p,Agrostis canina,Agrostis gigantea,0.0158293942
1730,AgrostisAgrostiscapillarisgigantea,1,Agrostis capillaris,Agrostis gigantea,Agrostis,Agrostis,p-p,Agrostis capillaris,Agrostis gigantea,0.0275088832
182,AgrostisAgrostiscurtisiigigantea,0,Agrostis curtisii,Agrostis gigantea,Agrostis,Agrostis,p-p,Agrostis curtisii,Agrostis gigantea,0.0158282324
1737,AgrostisAgrostisgiganteastolonifera,1,Agrostis stolonifera,Agrostis gigantea,Agrostis,Agrostis,p-p,Agrostis stolonifera,Agrostis gigantea,0.0057536825
663,AgrostisAgrostisgiganteavinealis,0,Agrostis vinealis,Agrostis gigantea,Agrostis,Agrostis,p-p,Agrostis vinealis,Agrostis gigantea,0.0158293942
3122,AgrostisAgrostiscaninastolonifera,0,Agrostis canina,Agrostis stolonifera,Agrostis,Agrostis,p-p,Agrostis canina,Agrostis stolonifera,0.0100807573
3670,AgrostisAgrostiscapillarisstolonifera,1,Agrostis capillaris,Agrostis stolonifera,Agrostis,Agrostis,p-p,Agrostis capillaris,Agrostis stolonifera,0.0217602463
