Taxa,Hybrid_propensity,Genus,Scaled.HP
Acaena anserinifolia,1,Acaena,100
Acaena inermis,1,Acaena,100
Agrimonia eupatoria,1,Agrimonia,100
Agrimonia procera,1,Agrimonia,100
Agrostis castellana,1,Agrostis,10
Ajuga pyramidalis,1,Ajuga,100
Ajuga reptans,1,Ajuga,100
Alisma lanceolatum,1,Alisma,100
Alisma plantago-aquatica,1,Alisma,100
Alopecurus aequalis,1,Alopecurus,16.6666666666667
Alopecurus bulbosus,1,Alopecurus,16.6666666666667
Alopecurus pratensis,1,Alopecurus,16.6666666666667
Amaranthus hybridus,1,Amaranthus,33.3333333333333
Amaranthus powellii,1,Amaranthus,33.3333333333333
Ammophila arenaria,1,Ammophila,0
Anacamptis laxiflora,1,Anacamptis,33.3333333333333
Anacamptis pyramidalis,1,Anacamptis,33.3333333333333
Anchusa ochroleuca,1,Anchusa,100
Anchusa officinalis,1,Anchusa,100
Anthemis cotula,1,Anthemis,0
Apium inundatum,1,Apium,33.3333333333333
Apium repens,1,Apium,33.3333333333333
Arctium lappa,1,Arctium,100
Arctium minus,1,Arctium,100
Armeria arenaria,1,Armeria,100
Armeria maritima,1,Armeria,100
Artemisia verlotiorum,1,Artemisia,100
Artemisia vulgaris,1,Artemisia,100
Arum italicum,1,Arum,100
Arum maculatum,1,Arum,100
Astilbe japonica,1,Astilbe,100
Astilbe rubra,1,Astilbe,100
Atriplex patula,1,Atriplex,10
Avena fatua,1,Avena,100
Avena sativa,1,Avena,100
Bergenia ciliata,1,Bergenia,100
Betula nana,1,Betula,33.3333333333333
Betula pendula,1,Betula,33.3333333333333
Brassica oleracea,1,Brassica,33.3333333333333
Brassica rapa,1,Brassica,33.3333333333333
Bromus hordeaceus,1,Bromus,100
Bromus lepidus,1,Bromus,100
Buddleja davidii,1,Buddleja,100
Buddleja globosa,1,Buddleja,100
Calamagrostis canescens,1,Calamagrostis,33.3333333333333
Calamagrostis epigejos,1,Calamagrostis,33.3333333333333
Calamagrostis stricta,1,Calamagrostis,33.3333333333333
Capsella bursa-pastoris,1,Capsella,100
Capsella rubella,1,Capsella,100
Cardamine hirsuta,1,Cardamine,33.3333333333333
Cardamine pratensis,1,Cardamine,33.3333333333333
Carduus crispus,1,Carduus,100
Carduus nutans,1,Carduus,100
Carex appropinquata,1,Carex,0.15015015015015
Carex diandra,1,Carex,0.15015015015015
Carex dioica,1,Carex,0.15015015015015
Carex extensa,1,Carex,0.15015015015015
Carex hirta,1,Carex,0.15015015015015
Carex lachenalii,1,Carex,0.15015015015015
Carex laevigata,1,Carex,0.15015015015015
Carex lasiocarpa,1,Carex,0.15015015015015
Carex muricata,1,Carex,0.15015015015015
Carex pseudocyperus,1,Carex,0.15015015015015
Carex punctata,1,Carex,0.15015015015015
Carex spicata,1,Carex,0.15015015015015
Carex trinervis,1,Carex,0.15015015015015
Carex vulpina,1,Carex,0.15015015015015
Catapodium marinum,1,Catapodium,100
Catapodium rigidum,1,Catapodium,100
Cephalanthera damasonium,1,Cephalanthera,100
Cephalanthera longifolia,1,Cephalanthera,100
Cerastium diffusum,1,Cerastium,6.66666666666667
Cerastium tomentosum,1,Cerastium,6.66666666666667
Chaenomeles japonica,1,Chaenomeles,100
Chaenomeles speciosa,1,Chaenomeles,100
Circaea alpina,1,Circaea,100
Circaea lutetiana,1,Circaea,100
Cirsium eriophorum,1,Cirsium,3.57142857142857
Cochlearia anglica,1,Cochlearia,33.3333333333333
Cochlearia danica,1,Cochlearia,33.3333333333333
Corylus avellana,1,Corylus,100
Corylus maxima,1,Corylus,100
Cotoneaster conspicuus,1,Cotoneaster,16.6666666666667
Cotoneaster frigidus,1,Cotoneaster,16.6666666666667
Crataegus heterophylla,1,Crataegus,16.6666666666667
Crocosmia paniculata,1,Crocosmia,100
Crocosmia pottsii,1,Crocosmia,100
Crocus biflorus,1,Crocus,16.6666666666667
Crocus chrysanthus,1,Crocus,16.6666666666667
Crocus neapolitanus,1,Crocus,16.6666666666667
Crocus tommasinianus,1,Crocus,16.6666666666667
Daphne laureola,1,Daphne,100
Daphne mezereum,1,Daphne,100
Dipsacus laciniatus,1,Dipsacus,33.3333333333333
Dipsacus sativus,1,Dipsacus,33.3333333333333
Doronicum pardalianches,1,Doronicum,100
Doronicum plantagineum,1,Doronicum,100
Drosera anglica,1,Drosera,33.3333333333333
Drosera intermedia,1,Drosera,33.3333333333333
Dysphania cristata,1,Dysphania,33.3333333333333
Dysphania pumilio,1,Dysphania,33.3333333333333
Echinops exaltatus,1,Echinops,100
Echinops sphaerocephalus,1,Echinops,100
Elaeagnus macrophylla,1,Elaeagnus,100
Elaeagnus pungens,1,Elaeagnus,100
Eleocharis palustris,1,Eleocharis,100
Eleocharis uniglumis,1,Eleocharis,100
Epilobium pedunculare,1,Epilobium,1.28205128205128
Epipactis atrorubens,1,Epipactis,16.6666666666667
Epipactis leptochila,1,Epipactis,16.6666666666667
Epipactis purpurata,1,Epipactis,16.6666666666667
Erica ciliaris,1,Erica,6.66666666666667
Erica erigena,1,Erica,6.66666666666667
Erica herbacea,1,Erica,6.66666666666667
Erica mackaiana,1,Erica,6.66666666666667
Erica vagans,1,Erica,6.66666666666667
Erigeron bonariensis,1,Erigeron,10
Erigeron floribundus,1,Erigeron,10
Erigeron sumatrensis,1,Erigeron,10
Erodium aethiopicum,1,Erodium,100
Erodium cicutarium,1,Erodium,100
Euphorbia paralias,1,Euphorbia,16.6666666666667
Euphorbia portlandica,1,Euphorbia,16.6666666666667
Fallopia baldschuanica,1,Fallopia,0
Fumaria bastardii,1,Fumaria,16.6666666666667
Fumaria muralis,1,Fumaria,16.6666666666667
Fumaria officinalis,1,Fumaria,16.6666666666667
Fumaria parviflora,1,Fumaria,16.6666666666667
Gaillardia aristata,1,Gaillardia,100
Gaillardia pulchella,1,Gaillardia,100
Galeopsis bifida,1,Galeopsis,100
Galeopsis tetrahit,1,Galeopsis,100
Galium album,1,Galium,16.6666666666667
Galium saxatile,1,Galium,16.6666666666667
Galium sterneri,1,Galium,16.6666666666667
Galium verum,1,Galium,16.6666666666667
Gaultheria mucronata,1,Gaultheria,100
Gaultheria shallon,1,Gaultheria,100
Gentianella amarella,1,Gentianella,100
Gentianella germanica,1,Gentianella,100
Geranium dalmaticum,1,Geranium,3.57142857142857
Geranium endressii,1,Geranium,3.57142857142857
Geranium ibericum,1,Geranium,3.57142857142857
Geranium macrorrhizum,1,Geranium,3.57142857142857
Geranium platypetalum,1,Geranium,3.57142857142857
Geranium purpureum,1,Geranium,3.57142857142857
Geranium robertianum,1,Geranium,3.57142857142857
Geranium versicolor,1,Geranium,3.57142857142857
Geum macrophyllum,1,Geum,33.3333333333333
Geum rivale,1,Geum,33.3333333333333
Glyceria declinata,1,Glyceria,33.3333333333333
Glyceria notata,1,Glyceria,33.3333333333333
Helianthemum apenninum,1,Helianthemum,100
Helianthemum nummularium,1,Helianthemum,100
Helianthus annuus,1,Helianthus,100
Helianthus decapetalus,1,Helianthus,100
Heracleum mantegazzianum,1,Heracleum,100
Heracleum sphondylium,1,Heracleum,100
Holcus lanatus,1,Holcus,100
Holcus mollis,1,Holcus,100
Hordeum secalinum,1,Hordeum,0
Hyacinthoides hispanica,1,Hyacinthoides,100
Hyacinthoides non-scripta,1,Hyacinthoides,100
Hylotelephium spectabile,1,Hylotelephium,100
Hylotelephium telephium,1,Hylotelephium,100
Hypericum androsaemum,1,Hypericum,3.57142857142857
Hypericum hircinum,1,Hypericum,3.57142857142857
Hypericum humifusum,1,Hypericum,3.57142857142857
Hypericum linariifolium,1,Hypericum,3.57142857142857
Hypericum maculatum,1,Hypericum,3.57142857142857
Hypericum perforatum,1,Hypericum,3.57142857142857
Hypericum tetrapterum,1,Hypericum,3.57142857142857
Hypericum undulatum,1,Hypericum,3.57142857142857
Hypochaeris glabra,1,Hypochaeris,100
Hypochaeris radicata,1,Hypochaeris,100
Ilex aquifolium,1,Ilex,100
Ilex perado,1,Ilex,100
Jacobaea aquatica,1,Jacobaea,16.6666666666667
Jacobaea erucifolius,1,Jacobaea,16.6666666666667
Juncus acutiflorus,1,Juncus,2.22222222222222
Juncus alpinoarticulatus,1,Juncus,2.22222222222222
Juncus compressus,1,Juncus,2.22222222222222
Juncus conglomeratus,1,Juncus,2.22222222222222
Juncus gerardii,1,Juncus,2.22222222222222
Koeleria macrantha,1,Koeleria,100
Koeleria vallesiana,1,Koeleria,100
Koenigia alpina,1,Koenigia,100
Koenigia weyrichii,1,Koenigia,100
Laburnum alpinum,1,Laburnum,100
Laburnum anagyroides,1,Laburnum,100
Leontodon hispidus,1,Leontodon,100
Leontodon saxatilis,1,Leontodon,100
Leucanthemum lacustre,1,Leucanthemum,100
Leucanthemum maximum,1,Leucanthemum,100
Ligustrum ovalifolium,1,Ligustrum,100
Ligustrum vulgare,1,Ligustrum,100
Limonium humile,1,Limonium,100
Limonium vulgare,1,Limonium,100
Limosella aquatica,1,Limosella,100
Limosella australis,1,Limosella,100
Linaria purpurea,1,Linaria,16.6666666666667
Linaria supina,1,Linaria,16.6666666666667
Linaria vulgaris,1,Linaria,16.6666666666667
Lupinus arboreus,1,Lupinus,33.3333333333333
Lupinus nootkatensis,1,Lupinus,33.3333333333333
Luzula forsteri,1,Luzula,100
Luzula pilosa,1,Luzula,100
Malus pumila,1,Malus,100
Malus sylvestris,1,Malus,100
Malva neglecta,1,Malva,100
Malva sylvestris,1,Malva,100
Mespilus germanica,1,Mespilus,0
Myosotis laxa,1,Myosotis,16.6666666666667
Myosotis scorpioides,1,Myosotis,16.6666666666667
Myosotis secunda,1,Myosotis,16.6666666666667
Myosotis stolonifera,1,Myosotis,16.6666666666667
Narcissus hispanicus,1,Narcissus,4.76190476190476
Narcissus jonquilla,1,Narcissus,4.76190476190476
Narcissus triandrus,1,Narcissus,4.76190476190476
Nasturtium microphyllum,1,Nasturtium,100
Nasturtium officinale,1,Nasturtium,100
Nepeta nepetella,1,Nepeta,100
Nepeta racemosa,1,Nepeta,100
Nicotiana alata,1,Nicotiana,100
Nicotiana forgetiana,1,Nicotiana,100
Nothofagus alpina,1,Nothofagus,100
