"","old","new"
"1","Acer campestre","Acer campestre"
"2","Achillea maritima","Achillea maritima"
"3","Achillea millefolium","Achillea millefolium"
"4","Achillea ptarmica","Achillea ptarmica"
"5","Anthemis arvensis","Anthemis arvensis"
"6","Anthemis cotula","Anthemis cotula"
"7","Matricaria chamomilla","Matricaria chamomilla"
"8","Tanacetum parthenium","Tanacetum parthenium"
"9","Tanacetum vulgare","Tanacetum vulgare"
"10","Glebionis segetum","Glebionis segetum"
"11","Chamaemelum nobile","Chamaemelum nobile"
"12","Leucanthemum vulgare","Leucanthemum vulgare"
"13","Artemisia absinthium","Artemisia absinthium"
"14","Artemisia norvegica","Artemisia norvegica"
"15","Artemisia vulgaris","Artemisia vulgaris"
"16","Artemisia maritima","Artemisia maritima"
"17","Artemisia campestris","Artemisia campestris"
"18","Tripleurospermum inodorum","Tripleurospermum inodorum"
"19","Tripleurospermum maritimum","Tripleurospermum maritimum"
"20","Erigeron acer","Erigeron acris"
"21","Erigeron borealis","Erigeron borealis"
"22","Solidago virgaurea","Solidago virgaurea"
"23","Antennaria dioica","Antennaria dioica"
"24","Bidens cernua","Bidens cernua"
"25","Bidens tripartita","Bidens tripartita"
"26","Eupatorium cannabinum","Eupatorium cannabinum"
"27","Inula conyzae","Inula conyzae"
"28","Inula helenium","Inula helenium"
"29","Limbarda crithmoides","Limbarda crithmoides"
"30","Petasites hybridus","Petasites hybridus"
"31","Tussilago farfara","Tussilago farfara"
"32","Arnoseris minima","Arnoseris minima"
"33","Cichorium intybus","Cichorium intybus"
"34","Lapsana communis","Lapsana communis"
"35","Scorzoneroides autumnalis","Scorzoneroides autumnalis"
"36","Leontodon hispidus","Leontodon hispidus"
"37","Leontodon saxatilis","Leontodon saxatilis"
"38","Helminthotheca echioides","Helminthotheca echioides"
"39","Picris hieracioides","Picris hieracioides"
"40","Sonchus arvensis","Sonchus arvensis"
"41","Sonchus asper","Sonchus asper"
"42","Sonchus oleraceus","Sonchus oleraceus"
"43","Sonchus palustris","Sonchus palustris"
"44","Tragopogon pratensis","Tragopogon pratensis"
"45","Scorzonera humilis","Scorzonera humilis"
"46","Arctium lappa","Arctium lappa"
"47","Arctium minus","Arctium minus"
"48","Centaurea calcitrapa","Centaurea calcitrapa"
"49","Centaurea nigra","Centaurea nigra"
"50","Centaurea scabiosa","Centaurea scabiosa"
"51","Cyanus segetum","Cyanus segetum"
"52","Serratula tinctoria","Serratula tinctoria"
"53","Carduus crispus","Carduus crispus"
"54","Carduus nutans","Carduus nutans"
"55","Carduus tenuiflorus","Carduus tenuiflorus"
"56","Cirsium acaule","Cirsium acaule"
"57","Cirsium arvense","Cirsium arvense"
"58","Cirsium vulgare","Cirsium vulgare"
"59","Cirsium palustre","Cirsium palustre"
"60","Cirsium tuberosum","Cirsium tuberosum"
"61","Cirsium dissectum","Cirsium dissectum"
"62","Cirsium heterophyllum","Cirsium heterophyllum"
"63","Cirsium eriophorum","Cirsium eriophorum"
"64","Silybum marianum","Silybum marianum"
"65","Onopordum acanthium","Onopordum acanthium"
"66","Carlina vulgaris","Carlina vulgaris"
"67","Galatella linosyris","Galatella linosyris"
"68","Tripolium pannonicum","Tripolium pannonicum"
"69","Bellis perennis","Bellis perennis"
"70","Filago gallica","Logfia gallica"
"71","Filago minima","Logfia minima"
"72","Filago lutescens","Filago lutescens"
"73","Filago pyramidata","Filago pyramidata"
"74","Filago germanica","Filago germanica"
"75","Gnaphalium norvegicum","Omalotheca norvegica"
"76","Gnaphalium supinum","Omalotheca supina"
"77","Gnaphalium sylvaticum","Omalotheca sylvatica"
"78","Gnaphalium uliginosum","Gnaphalium uliginosum"
"79","Homogyne alpina","Homogyne alpina"
"80","Tephroseris integrifolia","Tephroseris integrifolia"
"81","Tephroseris palustris","Tephroseris palustris"
"82","Jacobaea aquatica","Jacobaea aquatica"
"83","Jacobaea vulgaris","Jacobaea vulgaris"
"84","Senecio erucifolius","Jacobaea erucifolia"
"85","Jacobaea paludosa","Jacobaea paludosa"
"86","Senecio cambrensis","Senecio cambrensis"
"87","Senecio vulgaris","Senecio vulgaris"
"88","Senecio sylvaticus","Senecio sylvaticus"
"89","Pulicaria dysenterica","Pulicaria dysenterica"
"90","Pulicaria vulgaris","Pulicaria vulgaris"
"91","Lactuca alpina","Lactuca alpina"
"92","Lactuca muralis","Lactuca muralis"
"93","Lactuca saligna","Lactuca saligna"
"94","Lactuca serriola","Lactuca serriola"
"95","Lactuca virosa","Lactuca virosa"
"96","Hypochaeris glabra","Hypochaeris glabra"
"97","Hypochaeris radicata","Hypochaeris radicata"
"98","Hypochaeris maculata","Hypochaeris maculata"
"99","Crepis biennis","Crepis biennis"
"100","Crepis capillaris","Crepis capillaris"
"101","Crepis foetida","Crepis foetida"
"102","Crepis mollis","Crepis mollis"
"103","Crepis paludosa","Crepis paludosa"
"104","Crepis praemorsa","Crepis praemorsa"
"105","Pilosella flagellaris","Pilosella flagellaris"
"106","Pilosella officinarum","Pilosella officinarum"
"107","Pilosella peleteriana","Pilosella peleteriana"
"108","Saussurea alpina","Saussurea alpina"
"109","Menyanthes trifoliata","Menyanthes trifoliata"
"110","Nymphoides peltata","Nymphoides peltata"
"111","Campanula glomerata","Campanula glomerata"
"112","Campanula latifolia","Campanula latifolia"
