Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Orchis anthropohora,Orchis anthropophora,Aceras anthropophorum,2,42,21,P,2cd4p9h.7f6nqd,,(L.) W.T.Aiton,Man Orchid,Orchis anthropophora,(L.) All.,2cd4p9h.5k7h6t,confirmed,b,Aceras anthropophorum,Vas_6,NHMSYS0000455555,species,,N,N,Aceras,Orchidaceae,,,native (inferred),native (inferred),native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.7f6nqd&class=TaxonInstance,
Acer campestre,Acer campestre,Acer campestre,2,26,13,P,2cd4p9h.yah,,L.,Field Maple,,,,confirmed,b,Acer campestre,Vas_3,NBNSYS0000003193,species,,N,N,Acer,Sapindaceae,Acer campestre var. leiocarpum;Acer campestre subsp. campestre;Acer campestre subsp. hebecarpum;Acer campestre 'Elsrijk';Acer campestre 'Lienco';Acer campestre 'Queen Elizabeth';Acer campestre 'William Caldwell';Acer campestre 'Compactum';Acer campestre 'Elegant',Acer campestre var. leiocarpum (Opiz) Wallr.;Acer campestre subsp. campestre L.;Acer campestre subsp. hebecarpum (DC.) Schwer.;Acer campestre 'Elsrijk';Acer campestre 'Lienco';Acer campestre 'Queen Elizabeth';Acer campestre 'William Caldwell';Acer campestre 'Compactum';Acer campestre 'Elegant',native,alien,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.yah&class=TaxonInstance,
Achillea maritima,Achillea maritima,Achillea maritima,,,,P,2cd4p9h.83ng4q,,(L.) Ehrend. & Y.P.Guo,Cottonweed,,,,unchecked,b,Achillea maritima,Vas_1412,,species,,,,Achillea,Asteraceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.83ng4q&class=TaxonInstance,
Achillea millefolium,Achillea millefolium,Achillea millefolium,6,54,9,P,2cd4p9h.88t,,L.,Yarrow,,,,unchecked,b,Achillea millefolium,Vas_7,NBNSYS0000004451,species,,N,N,Achillea,Asteraceae,Achillea millefolium subsp. millefolium;Achillea millefolium 'Rubra';Achillea millefolium f. rosea;Achillea millefolium 'Cerise Queen';Achillea millefolium 'Red Velvet';Achillea millefolium 'Terracotta',Achillea millefolium subsp. millefolium L.;Achillea millefolium 'Rubra';Achillea millefolium f. rosea (Desf.) E.L.Rand & Redfield;Achillea millefolium 'Cerise Queen';Achillea millefolium 'Red Velvet';Achillea millefolium 'Terracotta',native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.88t&class=TaxonInstance,
Achillea ptarmica,Achillea ptarmica,Achillea ptarmica,2,18,9,P,2cd4p9h.v5w,,L.,Sneezewort,,,,unchecked,b,Achillea ptarmica,Vas_9,NBNSYS0000004453,species,,N,N,Achillea,Asteraceae,Achillea ptarmica f. ligulosa;Achillea ptarmica f. ptarmica;Achillea ptarmica 'The Pearl',Achillea ptarmica f. ligulosa Vilm.;Achillea ptarmica f. ptarmica L.;Achillea ptarmica 'The Pearl',native,native,alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.v5w&class=TaxonInstance,
Actaea spicata,Actaea spicata,Actaea spicata,,,,P,2cd4p9h.dt,,L.,Baneberry,,,,confirmed,b,Actaea spicata,Vas_16,NBNSYS0000002699,species,,N,N,Actaea,Ranunculaceae,,,native,alien,native (inferred),https://database.bsbi.org/object.php?entityid=2cd4p9h.dt&class=TaxonInstance,
Adiantum capillus-veneris,Adiantum capillus-veneris,Adiantum capillus-veneris,,,,P,2cd4p9h.x63,,L.,Maidenhair Fern,,,,confirmed,b,Adiantum capillus-veneris,Vas_17,NBNSYS0000002034,species,,N,N,Adiantum,Pteridaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x63&class=TaxonInstance,
Adonis annua,Adonis annua,Adonis annua,,,,A,2cd4p9h.v5p,,L.,Pheasant's-eye,,,,confirmed,b,Adonis annua,Vas_18,NBNSYS0000002739,species,,A,Ar,Adonis,Ranunculaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.v5p&class=TaxonInstance,
Adoxa moschatellina,Adoxa moschatellina,Adoxa moschatellina,4,36,9,P,2cd4p9h.etq,,L.,Moschatel,,,,unchecked,b,Adoxa moschatellina,Vas_19,NBNSYS0000004336,species,,N,N,Adoxa,Adoxaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.etq&class=TaxonInstance,
Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,,,,P,2cd4p9h.e4,,L.,Ground-elder,,,,unchecked,b,Aegopodium podagraria,Vas_20,NBNSYS0000003684,species,,A,Ar,Aegopodium,Apiaceae,Aegopodium podagraria 'Variegatum',Aegopodium podagraria 'Variegatum',archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.e4&class=TaxonInstance,
