Species,AnnPer
Acer campestre,p
Achillea maritima,p
Achillea millefolium,p
Achillea ptarmica,p
Aconitum napellus,p
Actaea spicata,p
Adonis annua,a
Adoxa moschatellina,p
Aegonychon purpureocaeruleum,p
Aegopodium podagraria,p
Aethusa cynapium,a
Agrimonia eupatoria,p
Agrimonia procera,p
Agrostemma githago,a
Agrostis canina,p
Agrostis capillaris,p
Agrostis curtisii,p
Agrostis gigantea,p
Agrostis stolonifera,p
Agrostis vinealis,p
Aira caryophyllea,a
Aira praecox,a
Ajuga chamaepitys,p
Ajuga pyramidalis,p
Ajuga reptans,p
Alchemilla acutiloba,p
Alchemilla alpina,p
Alchemilla conjuncta,p
Alchemilla filicaulis,p
Alchemilla glabra,p
Alchemilla glaucescens,p
Alchemilla glomerulans,p
Alchemilla micans,p
Alchemilla monticola,p
Alchemilla subcrenata,p
Alchemilla wichurae,p
Alchemilla xanthochlora,p
Alisma gramineum,p
Alisma lanceolatum,p
Alisma plantago-aquatica,p
Alliaria petiolata,b
Allium ampeloprasum,p
Allium oleraceum,p
Allium schoenoprasum,p
Allium scorodoprasum,p
Allium sphaerocephalon,p
Allium ursinum,p
Allium vineale,p
Alnus glutinosa,p
Alopecurus aequalis,a
Alopecurus bulbosus,p
Alopecurus geniculatus,p
Alopecurus magellanicus,p
Alopecurus myosuroides,a
Alopecurus pratensis,p
Althaea officinalis,p
Ammophila arenaria,p
Anacamptis morio,p
Anacamptis pyramidalis,p
Andromeda polifolia,p
Anemone nemorosa,p
Anemone pulsatilla,p
Angelica sylvestris,p
Anisantha sterilis,a
Antennaria dioica,p
Anthemis arvensis,a
Anthemis cotula,a
Anthoxanthum odoratum,p
Anthriscus caucalis,a
Anthriscus sylvestris,p
Anthyllis vulneraria,p
Apera spica-venti,a
Aphanes arvensis,a
Aphanes australis,a
Apium graveolens,b
Aquilegia vulgaris,p
Arabidopsis lyrata,p
Arabidopsis thaliana,a
Arabis alpina,p
Arabis hirsuta,b
Arabis scabra,p
Arctium lappa,b
Arctium minus,b
Arctostaphylos uva-ursi,p
Arctous alpina,p
Arenaria norvegica,p
Arenaria serpyllifolia,a
Aristavena setacea,p
Armeria maritima,p
Armoracia rusticana,p
Arnoseris minima,a
Arrhenatherum elatius,p
Artemisia absinthium,p
Artemisia campestris,p
Artemisia maritima,p
Artemisia norvegica,p
Artemisia vulgaris,p
Arum italicum,p
Arum maculatum,p
Asparagus officinalis,p
Asparagus prostratus,p
Asperula cynanchica,p
Astragalus alpinus,p
Astragalus danicus,p
Astragalus glycyphyllos,p
Atriplex glabriuscula,a
Atriplex laciniata,a
Atriplex littoralis,a
Atriplex longipes,a
Atriplex nudicaulis,a
Atriplex patula,a
Atriplex portulacoides,p
Atropa belladonna,p
Avena fatua,a
Avenella flexuosa,p
Baldellia ranunculoides,p
Ballota nigra,p
Barbarea vulgaris,b
Bartsia alpina,p
Bellis perennis,p
Berula erecta,p
Beta vulgaris,p
Betula nana,p
Betula pendula,p
Betula pubescens,p
Bidens cernua,a
Bidens tripartita,a
Bistorta officinalis,p
Bistorta vivipara,p
Blackstonia perfoliata,a
Blitum bonus-henricus,p
Blysmus compressus,p
Blysmus rufus,p
Bolboschoenus maritimus,p
Brachypodium pinnatum,p
Brachypodium rupestre,p
Brachypodium sylvaticum,p
Brassica nigra,a
Brassica oleracea,p
Brassica rapa,a
Briza media,p
Briza minor,a
Bromopsis benekenii,p
Bromopsis erecta,p
Bromopsis ramosa,p
Bromus hordeaceus,a
Bromus interruptus,a
Bromus racemosus,a
Bromus secalinus,a
Bryonia cretica,p
Buglossoides arvensis,a
Bunium bulbocastanum,p
Bupleurum baldense,a
Bupleurum rotundifolium,a
Bupleurum tenuissimum,a
Butomus umbellatus,p
Buxus sempervirens,p
Cakile maritima,a
Calamagrostis canescens,p
Calamagrostis epigejos,p
Calamagrostis purpurea,p
Calamagrostis scotica,p
Calamagrostis stricta,p
Callitriche brutia,a
Callitriche hermaphroditica,p
Callitriche obtusangula,p
Callitriche platycarpa,a
Callitriche stagnalis,a
Callitriche truncata,a
Calluna vulgaris,p
Caltha palustris,p
Calystegia sepium,p
Calystegia soldanella,p
Camelina sativa,a
Campanula glomerata,p
Campanula latifolia,p
Campanula patula,b
Campanula rapunculus,p
Campanula rotundifolia,p
Campanula trachelium,p
Capsella bursa-pastoris,a
Cardamine amara,p
Cardamine bulbifera,p
Cardamine flexuosa,p
Cardamine hirsuta,a
Cardamine impatiens,b
Cardamine pratensis,p
Carduus crispus,b
Carduus nutans,b
Carduus tenuiflorus,b
Carex acuta,p
Carex acutiformis,p
Carex appropinquata,p
Carex aquatilis,p
Carex arenaria,p
Carex atrata,p
Carex atrofusca,p
Carex bigelowii,p
Carex binervis,p
Carex buxbaumii,p
Carex canescens,p
Carex capillaris,p
Carex caryophyllea,p
Carex chordorrhiza,p
Carex davalliana,p
Carex depauperata,p
Carex diandra,p
Carex digitata,p
Carex dioica,p
Carex distans,p
Carex disticha,p
Carex divisa,p
Carex divulsa,p
Carex echinata,p
Carex elata,p
Carex elongata,p
Carex ericetorum,p
Carex extensa,p
Carex filiformis,p
Carex flacca,p
Carex flava,p
Carex hirta,p
Carex hostiana,p
Carex humilis,p
Carex lachenalii,p
Carex laevigata,p
Carex lasiocarpa,p
Carex leporina,p
Carex limosa,p
Carex magellanica,p
Carex maritima,p
Carex microglochin,p
Carex montana,p
Carex muricata,p
Carex nigra,p
Carex norvegica,p
Carex ornithopoda,p
Carex otrubae,p
Carex pallescens,p
Carex panicea,p
Carex paniculata,p
Carex pauciflora,p
Carex pendula,p
Carex pilulifera,p
Carex pseudocyperus,p
Carex pulicaris,p
Carex punctata,p
Carex rariflora,p
Carex recta,p
Carex remota,p
Carex riparia,p
Carex rostrata,p
Carex rupestris,p
Carex salina,p
Carex saxatilis,p
Carex simpliciuscula,p
Carex spicata,p
Carex strigosa,p
Carex sylvatica,p
Carex vaginata,p
Carex vesicaria,p
Carex viridula,p
Carex vulpina,p
Carlina vulgaris,b
Carpinus betulus,p
Carum carvi,b
Castanea sativa,p
Catabrosa aquatica,p
Catapodium marinum,a
Catapodium rigidum,a
Centaurea calcitrapa,b
Centaurea nigra,p
Centaurea scabiosa,p
Centaurium erythraea,b
Centaurium littorale,b
Centaurium portense,p
Centaurium pulchellum,a
Centaurium tenuiflorum,a
Cephalanthera rubra,p
Cerastium alpinum,p
Cerastium arvense,p
Cerastium cerastoides,p
Cerastium diffusum,a
Cerastium fontanum,p
Cerastium glomeratum,a
Cerastium nigrescens,p
Cerastium pumilum,a
Cerastium semidecandrum,a
Ceratocapnos claviculata,a
Ceratophyllum demersum,p
Ceratophyllum submersum,p
Chaenorhinum minus,a
Chaerophyllum temulum,b
Chamaemelum nobile,p
Chelidonium majus,p
Chenopodiastrum hybridum,a
Chenopodiastrum murale,a
Chenopodium album,a
Chenopodium ficifolium,a
Chenopodium vulvaria,a
Cherleria sedoides,p
Chrysosplenium alternifolium,p
Chrysosplenium oppositifolium,p
Cicendia filiformis,a
Cichorium intybus,p
Cicuta virosa,p
Circaea alpina,p
Circaea lutetiana,p
Cirsium acaule,p
Cirsium arvense,p
Cirsium dissectum,p
Cirsium eriophorum,b
Cirsium heterophyllum,p
Cirsium palustre,b
Cirsium tuberosum,p
Cirsium vulgare,b
Cladium mariscus,p
Clematis vitalba,p
Clinopodium acinos,a
Clinopodium vulgare,p
Cochlearia anglica,b
Cochlearia danica,a
Cochlearia micacea,b
Cochlearia officinalis,p
Cochlearia pyrenaica,b
Coeloglossum viride,p
Coincya monensis,b
Coincya wrightii,p
Colchicum autumnale,p
Comarum palustre,p
Conium maculatum,b
Conopodium majus,p
Convallaria majalis,p
Convolvulus arvensis,p
Corallorhiza trifida,p
Cornus sanguinea,p
Cornus suecica,p
Corrigiola litoralis,a
Corylus avellana,p
Corynephorus canescens,p
Cotoneaster cambricus,p
Crambe maritima,p
Crassula aquatica,a
Crataegus laevigata,p
Crataegus monogyna,p
Crepis biennis,b
Crepis capillaris,a
Crepis foetida,b
Crepis mollis,p
Crepis paludosa,p
Crepis praemorsa,p
Crithmum maritimum,p
Cruciata laevipes,p
Cuscuta epithymum,a
Cuscuta europaea,a
Cyanus segetum,a
Cynodon dactylon,p
Cynoglossum germanicum,p
Cynoglossum officinale,p
Cynosurus cristatus,p
Cyperus fuscus,a
Cyperus longus,p
Cytisus scoparius,p
Dactylis glomerata,p
Dactylorhiza fuchsii,p
Dactylorhiza incarnata,p
Dactylorhiza kerryensis,p
Dactylorhiza maculata,p
Dactylorhiza praetermissa,p
Dactylorhiza purpurella,p
Dactylorhiza trausteinerioides,p
Damasonium alisma,a
Danthonia decumbens,p
Daphne laureola,p
Daphne mezereum,p
Dasiphora fruticosa,p
Daucus carota,b
Deschampsia cespitosa,p
Descurainia sophia,a
Dianthus armeria,a
Dianthus deltoides,p
Dianthus gratianopolitanus,p
Diapensia lapponica,p
Digitalis purpurea,b
Dioscorea communis,p
Diplotaxis tenuifolia,p
Dipsacus fullonum,b
Dipsacus pilosus,b
Draba aizoides,p
Draba incana,b
Draba norvegica,p
Drabella muralis,a
Drosera anglica,p
Drosera intermedia,p
Drosera rotundifolia,p
Dryas octopetala,p
Drymocallis rupestris,p
Drymochloa sylvatica,p
Echium plantagineum,b
Echium vulgare,b
Elaeagnus rhamnoides,p
Elatine hexandra,a
Elatine hydropiper,a
Eleocharis acicularis,p
Eleocharis mamillata,p
Eleocharis multicaulis,p
Eleocharis palustris,p
Eleocharis parvula,p
Eleocharis quinqueflora,p
Eleocharis uniglumis,p
Elymus athericus,p
Elymus caninus,p
Elymus junceiformis,p
Elymus repens,p
Empetrum nigrum,p
Epilobium alsinifolium,p
Epilobium anagallidifolium,p
Epilobium angustifolium,p
Epilobium hirsutum,p
Epilobium lanceolatum,p
Epilobium montanum,p
Epilobium obscurum,p
Epilobium palustre,p
Epilobium parviflorum,p
Epilobium roseum,p
Epilobium tetragonum,p
Epipactis atrorubens,p
Epipactis dunensis,p
Epipactis helleborine,p
Epipactis leptochila,p
Epipactis palustris,p
Epipactis phyllanthes,p
Erica ciliaris,p
Erica cinerea,p
Erica tetralix,p
Erica vagans,p
Erigeron acris,p
Erigeron borealis,p
Eriocaulon aquaticum,p
Eriophorum angustifolium,p
Eriophorum gracile,p
Eriophorum latifolium,p
