id,source,internal_id,major_group,family,genus,original_name,matched_name,resolved_name,taxonomic_status,gametophytic,sporophytic,parsed_n,reference,voucher,Cleaned_sporophytic,Species,Genus
brit-fl-18,brit-fl,"",Angiosperms,Acoraceae,Acorus,Acorus calamus,Acorus calamus L.,Acorus calamus L.,Accepted,"",ca 36,18,"Marchant, C.J. Kew Bull. 28: 199-210 (1973)","",36,Acorus calamus,Acorus
brit-fl-21,brit-fl,"",Angiosperms,Adoxaceae,Adoxa,Adoxa moschatellina,Adoxa moschatellina L.,Adoxa moschatellina L.,Accepted,"",36,18,"Jones, K. (1969)","",36,Adoxa moschatellina,Adoxa
brit-fl-22,brit-fl,"",Angiosperms,Adoxaceae,Adoxa,Adoxa moschatellina,Adoxa moschatellina L.,Adoxa moschatellina L.,Accepted,"",36,18,"Baker, H.G. Year Book Bot. Soc. Brit. Isles 1955: 118 (1955)","",36,Adoxa moschatellina,Adoxa
brit-fl-1461,brit-fl,"",Angiosperms,Adoxaceae,Viburnum,Viburnum lantana,Viburnum lantana L.,Viburnum lantana L.,Accepted,"",18,9,"Wentworth, J.E., Bailey, J.P., Gornall, R.J. Watsonia 18: 415-418 (1991)","",18,Viburnum lantana,Viburnum
brit-fl-2327,brit-fl,"",Angiosperms,Adoxaceae,Sambucus,Sambucus ebulus,Sambucus ebulus L.,Sambucus ebulus L.,Accepted,"",36,18,"Squirrell, J. Watsonia : (1994)","",36,Sambucus ebulus,Sambucus
brit-fl-2328,brit-fl,"",Angiosperms,Adoxaceae,Sambucus,Sambucus nigra,Sambucus nigra L.,Sambucus nigra L.,Accepted,"",36,18,"Hollingsworth, P.M., Gornall, R.J., Bailey, J.P. Watsonia 19: 134-137 (1992)","",36,Sambucus nigra,Sambucus
brit-fl-2329,brit-fl,"",Angiosperms,Adoxaceae,Sambucus,Sambucus nigra,Sambucus nigra L.,Sambucus nigra L.,Accepted,"",36,18,"Squirrell, J. Watsonia : (1994)","",36,Sambucus nigra,Sambucus
brit-fl-2854,brit-fl,"",Angiosperms,Adoxaceae,Viburnum,Viburnum opulus,Viburnum opulus L.,Viburnum opulus L.,Accepted,"",18,9,"Bailey, J.P., Gornall, R.J. Irish Naturalists' J. : ()","",18,Viburnum opulus,Viburnum
brit-fl-2855,brit-fl,"",Angiosperms,Adoxaceae,Viburnum,Viburnum opulus,Viburnum opulus L.,Viburnum opulus L.,Accepted,"",18,9,"Montgomery, L., Khalaf, M.K., Bailey, J.P., Gornall, R.J. Watsonia 21: 365-368 (1997)","",18,Viburnum opulus,Viburnum
brit-fl-154,brit-fl,"",Angiosperms,Aizoaceae,Mesembryanthemum,Aptenia cordifolia,Aptenia cordifolia (L.) Schwantes,Mesembryanthemum cordifolium L.,Accepted,"",18,9,"I'Ons, R.D. Watsonia 17: 244-245 (1989)","",18,Mesembryanthemum cordifolium,Mesembryanthemum
brit-fl-508,brit-fl,"",Angiosperms,Aizoaceae,Carpobrotus,Carpobrotus edulis,Carpobrotus edulis (L.) N. E. Br.,Carpobrotus edulis (L.) N. E. Br.,Accepted,"",18,9,"I'Ons, R.D. Watsonia 17: 244-245 (1989)","",18,Carpobrotus edulis,Carpobrotus
brit-fl-509,brit-fl,"",Angiosperms,Aizoaceae,Carpobrotus,Carpobrotus glaucescens,Carpobrotus glaucescens (Haw.) Schwantes,Carpobrotus glaucescens (Haw.) Schwantes,Accepted,"",18,9,"I'Ons, R.D. Watsonia 17: 244-245 (1989)","",18,Carpobrotus glaucescens,Carpobrotus
