Species,Ploidy,Chromosome_number,Base,N
Acaena anserinifolia,2,42,21,1
Acaena inermis,2,42,21,1
Acer campestre,2,26,13,1
Achillea millefolium,6,54,9,1
Achillea ptarmica,2,18,9,1
Aconitum napellus,4,32,8,1
Adoxa moschatellina,4,36,9,1
Agrimonia eupatoria,2,28,14,1
Agrimonia procera,4,56,14,1
Agrostis capillaris,4,28,7,1
Agrostis curtisii,2,14,7,1
Agrostis gigantea,6,42,7,1
Agrostis rupestris,2,14,7,1
Agrostis stolonifera,4,28,7,1
Agrostis vinealis,4,28,7,1
Aira caryophyllea,2,14,7,1
Aira praecox,2,14,7,1
Ajuga pyramidalis,4,32,8,1
Ajuga reptans,4,32,8,1
Alisma lanceolatum,4,28,7,1
Alisma plantago-aquatica,2,14,7,1
Alliaria petiolata,4,36,9,1
Allium oleraceum,5,40,8,1
Allium schoenoprasum,2,16,8,1
Allium scorodoprasum,2,16,8,1
Allium ursinum,2,14,7,1
Allium vineale,4,32,8,1
Alnus glutinosa,2,28,14,1
Alnus incana,2,28,14,1
Alopecurus aequalis,2,14,7,1
Alopecurus alpinus,16,112,7,1
Alopecurus bulbosus,2,14,7,1
Alopecurus geniculatus,4,28,7,1
Alopecurus myosuroides,2,14,7,1
Alopecurus pratensis,4,28,7,1
Amaranthus powellii,2,32,16,1
Ammophila arenaria,4,28,7,1
Anacamptis laxiflora,2,36,18,1
Anacamptis morio,2,36,18,1
Anagallis arvensis,4,40,10,1
Anagallis tenella,2,22,10,1
Anchusa ochroleuca,3,24,8,1
Anchusa officinalis,2,16,8,1
Anemone pulsatilla,4,32,8,1
Anthemis arvensis,2,18,9,1
Anthemis cotula,2,18,9,1
Anthoxanthum odoratum,4,20,5,1
Anthriscus caucalis,2,14,8,1
Anthriscus sylvestris,2,16,8,1
Anthyllis vulneraria,2,12,6,1
Apera interrupta,2,14,7,1
Apera spica-venti,2,14,7,1
Aphanes arvensis,6,48,8,1
Aphanes australis,2,16,8,1
Apium graveolens,2,22,11,1
Apium inundatum,2,22,11,1
Apium nodiflorum,2,22,11,1
Apium repens,2,22,11,1
Aquilegia vulgaris,2,14,7,1
Arabidopsis lyrata,2,16,8,1
Arabis alpina,2,16,8,1
Arabis hirsuta,4,32,8,1
Arabis scabra,2,16,8,1
Arctium lappa,2,36,18,1
Arctium minus,2,36,18,1
Arctium nemorosum,2,36,18,1
Armeria arenaria,2,18,9,1
Armeria maritima,2,18,9,1
Arrhenatherum elatius,4,28,7,1
Artemisia absinthium,2,18,9,1
Artemisia maritima,6,54,9,1
Artemisia norvegica,2,18,9,1
Artemisia vulgaris,2,16,8,1
Arum maculatum,8,56,7,1
Asparagus officinalis,2,20,10,1
Asperula cynanchica,4,40,10,1
Aster tripolium,2,18,9,1
Astilbe japonica,2,14,7,1
Astilbe rubra,2,14,7,1
Astragalus danicus,2,16,8,1
Astragalus glycyphyllos,2,16,8,1
Atriplex glabriuscula,2,18,9,1
Atriplex laciniata,2,18,9,1
Atriplex littoralis,2,18,9,1
Atriplex longipes,2,18,9,1
Atriplex nudicaulis,2,18,9,1
Atriplex patula,4,36,9,1
Atriplex portulacoides,4,36,9,1
Atriplex prostrata,2,18,9,1
Atropa belladonna,6,72,12,1
Avena fatua,6,42,7,1
Avena sativa,6,42,7,1
Bartsia alpina,2,24,12,1
Bellis perennis,2,18,9,1
Bergenia ciliata,2,34,17,1
Bergenia crassifolia,2,34,17,1
Beta vulgaris,2,18,9,1
Betula nana,2,28,14,1
Betula pendula,2,28,14,1
Betula pubescens,4,56,14,1
Brachypodium distachyon,2,14,7,1
Brassica nigra,2,16,8,1
Brassica oleracea,2,18,9,1
Brassica rapa,2,20,10,1
Briza media,2,14,7,1
Briza minor,2,10,5,1
Bromus benekenii,4,28,7,1
Bromus commutatus,4,28,7,1
Bromus hordeaceus,4,28,7,1
Bromus interruptus,4,28,7,1
Bromus lepidus,4,28,7,1
Bromus racemosus,4,28,7,1
Bromus ramosus,6,42,7,1
Bromus secalinus,4,28,7,1
Bryonia cretica,2,20,10,1
Bryonia dioica,2,20,10,1
Buddleja davidii,4,76,19,1
Buddleja globosa,2,38,19,1
Butomus umbellatus,3,39,13,1
Buxus sempervirens,2,28,14,1
Calamagrostis canescens,4,28,7,1
Calamagrostis epigejos,4,28,7,1
Calamagrostis stricta,4,28,7,1
Callitriche brutia,7,28,4,1
Callitriche hermaphroditica,2,6,3,1
Callitriche obtusangula,2,10,5,1
Callitriche platycarpa,4,20,5,1
Callitriche stagnalis,2,10,5,1
Callitriche truncata,2,6,3,1
Caltha palustris,7,56,8,1
Calystegia pulchra,2,22,11,1
Calystegia sepium,2,22,11,1
Calystegia silvatica,2,22,11,1
Calystegia soldanella,2,22,11,1
Campanula glomerata,3,30,10,1
Campanula patula,2,20,10,1
Campanula trachelium,2,34,34,1
Capsella rubella,2,16,8,1
Cardamine amara,2,16,8,1
Cardamine flexuosa,4,32,8,1
Cardamine hirsuta,2,16,8,1
Cardamine impatiens,2,16,8,1
Carduus acanthoides,2,16,8,1
Carduus crispus,2,16,8,1
Carduus nutans,2,16,8,1
Carex acutiformis,2,38,38,1
Carex bigelowii,2,68,34,1
Carex ericetorum,5,30,6,1
Carex extensa,10,60,6,1
